X	Y	Z	Fi
26.5	45.5	275.5	16.401897
27.5	45.5	275.5	24.618362
28.5	45.5	275.5	24.55187
29.5	45.5	275.5	19.186085
30.5	45.5	275.5	26.15
31.5	45.5	275.5	25.309999
32.5	45.5	275.5	26.370001
33.5	45.5	275.5	29.413321
34.5	45.5	275.5	23.740578
35.5	45.5	275.5	24.969999
36.5	45.5	275.5	25.91
37.5	45.5	275.5	26.870001
38.5	45.5	275.5	22.127104
39.5	45.5	275.5	22.918982
40.5	45.5	275.5	20.128817
41.5	45.5	275.5	21.807764
42.5	45.5	275.5	16.342636
43.5	45.5	275.5	25.32
44.5	45.5	275.5	25.619246
45.5	45.5	275.5	22.313023
46.5	45.5	275.5	25.18383
47.5	45.5	275.5	16.426178
48.5	45.5	275.5	23.790001
49.5	45.5	275.5	24.969999
50.5	45.5	275.5	24.27
51.5	45.5	275.5	17.709999
52.5	45.5	275.5	26.610001
53.5	45.5	275.5	28.299999
54.5	45.5	275.5	27.110001
55.5	45.5	275.5	29.66
56.5	45.5	275.5	29.540001
57.5	45.5	275.5	27.453264
58.5	45.5	275.5	27
59.5	45.5	275.5	28.450001
60.5	45.5	275.5	31.92
61.5	45.5	275.5	31.69548
62.5	45.5	275.5	29.639999
63.5	45.5	275.5	28.809999
64.5	45.5	275.5	27.74
65.5	45.5	275.5	29.570612
66.5	45.5	275.5	28.365625
67.5	45.5	275.5	30.794111
68.5	45.5	275.5	33.05534
69.5	45.5	275.5	31.051838
70.5	45.5	275.5	32.509998
71.5	45.5	275.5	30
72.5	45.5	275.5	26.394316
73.5	45.5	275.5	27.467035
74.5	45.5	275.5	28.64048
75.5	45.5	275.5	31.018324
76.5	45.5	275.5	29.97566
77.5	45.5	275.5	33.222031
78.5	45.5	275.5	26.764551
79.5	45.5	275.5	28.028898
80.5	45.5	275.5	25.82
81.5	45.5	275.5	22.549999
82.5	45.5	275.5	28.530001
83.5	45.5	275.5	26.799999
84.5	45.5	275.5	20.941088
85.5	45.5	275.5	26.399973
86.5	45.5	275.5	20.366531
87.5	45.5	275.5	25.61252
88.5	45.5	275.5	29.780001
89.5	45.5	275.5	26.13343
90.5	45.5	275.5	28.120001
91.5	45.5	275.5	26.271687
92.5	45.5	275.5	27.992456
93.5	45.5	275.5	27.364534
94.5	45.5	275.5	28.450001
95.5	45.5	275.5	30.629999
96.5	45.5	275.5	28.620005
97.5	45.5	275.5	29.577984
98.5	45.5	275.5	25.212114
99.5	45.5	275.5	30.986166
0.5	45.5	276.5	30.0578
1.5	45.5	276.5	25.090195
2.5	45.5	276.5	27.518345
3.5	45.5	276.5	26.246529
4.5	45.5	276.5	26.4
5.5	45.5	276.5	24.51
6.5	45.5	276.5	28.03731
7.5	45.5	276.5	23.809614
8.5	45.5	276.5	22.098885
9.5	45.5	276.5	27.58
10.5	45.5	276.5	27.059999
11.5	45.5	276.5	25.041481
12.5	45.5	276.5	18.664322
13.5	45.5	276.5	21.268206
14.5	45.5	276.5	15.309566
15.5	45.5	276.5	16.374983
16.5	45.5	276.5	13.647534
17.5	45.5	276.5	17.5599
18.5	45.5	276.5	21.078613
19.5	45.5	276.5	17.97407
20.5	45.5	276.5	19.458078
21.5	45.5	276.5	25.758385
22.5	45.5	276.5	26.030523
23.5	45.5	276.5	22.309999
24.5	45.5	276.5	26.261499
25.5	45.5	276.5	30.540001
26.5	45.5	276.5	21.976738
27.5	45.5	276.5	20.802036
28.5	45.5	276.5	23.457699
29.5	45.5	276.5	28.806221
30.5	45.5	276.5	25.825794
31.5	45.5	276.5	28.995756
32.5	45.5	276.5	27.780001
33.5	45.5	276.5	25.309999
34.5	45.5	276.5	30.620001
35.5	45.5	276.5	34.330002
36.5	45.5	276.5	26.84
