KT3D ESTIMATES WITH:  Normal Score Transform: UTF-A Oil Sand Formation Data     
    2   50   30   20
Estimate
EstimationVariance
 437.12238      1.0154674    
 427.50562      1.0135465    
 605.39813      1.0464212    
 830.72778      1.0585428    
 822.83411      1.0409522    
 702.98730      1.0147852    
 533.03955      1.0074277    
 468.19113     0.92227614    
 432.55420     0.89551264    
 664.38062     0.82796532    
 763.00922     0.78672397    
 885.46149     0.71561831    
 1031.1263     0.65165251    
 1058.1946     0.60307461    
 1042.0046     0.58941013    
 1168.6476     0.58236623    
 1357.4688     0.58001333    
 1241.0774     0.59142286    
 1278.6910     0.64318937    
 1390.9954     0.70122838    
 1493.9315     0.76490533    
 1636.7117     0.83012301    
 1610.3306     0.89521682    
 970.29541     0.90505189    
 2040.1813     0.91104448    
 2846.2446     0.93568206    
 3005.2351     0.99597222    
 3061.1025     0.94496214    
 3112.7742     0.89547479    
 3162.7805     0.85051084    
 3218.6814     0.81668717    
 3208.3110     0.81144047    
 3194.8582     0.82356566    
 3178.0574     0.84677547    
 3152.6392     0.87889546    
 3119.1724     0.91807717    
 3079.2490     0.96234733    
 3034.3696      1.0097172    
 3124.9141      1.0626063    
 553.14294      1.0931946    
 544.02985      1.0799345    
 558.54230      1.0687273    
 552.21045      1.0607759    
 550.09906      1.0589533    
 553.04926      1.0645753    
 561.72131      1.0748420    
 569.64441      1.0877639    
 584.41467      1.0468801    
 619.30530      1.0402621    
 497.90936      1.0329354    
 429.90302      1.0184619    
 432.94922      1.0218575    
 605.79205      1.0458202    
 831.10980      1.0578296    
